state,season,crop_name,sub_region,pest_or_disease_name,type,monitor_start_month,monitor_end_month,chemical_control,bio_control,threshold_note
Jammu & Kashmir,Kharif,Mash (Black Gram),Jammu & Kashmir,Yellow Mosaic Virus and sucking pests,disease,,,Spray dimethoate 30 EC @ 1 ml/litre or thiamethoxam @ 0.03%,,Use resistant varieties
Jammu & Kashmir,Kharif,Brinjal,Jammu & Kashmir,Fruit & Shoot Borer,pest,,,Spray Cypermethrin (1 ml/L) or Melathion 50 EC (2 ml/L); install Ervit lure (5-6/acre),,Mass trapping recommended
Jammu & Kashmir,Kharif,Chillies,Jammu & Kashmir,Mites,pest,,,Spray dicofol 18.5 EC @ 3 ml/l or wettable sulfur @ 2 ml/l,,Control crinkling due to mite infestation
Jammu & Kashmir,Kharif,Maize,Rainfed,Armyworm,pest,,,Spray Chlorpyriphos 20 EC @150 ml/100 litres water,,Uproot stubbles of previous crop for management.
Jammu & Kashmir,Kharif,Rajmash (Kidney Bean),Jammu,Bean common mosaic virus,disease,,,Spray Fenazaquin @1 ml/L on 45 and 60 DAS prophylactically,Rogue out infected plants early growth stages,"Downward curling of foliage, mottling, chlorosis diagnostic."
Jammu & Kashmir,Kharif,Cowpea,Jammu,Anthracnose,disease,,,Seed treat with Captan 50WP @3 gm/kg; Spray carbendazim + Mancozeb 75WP @0.25%,,Symptoms on immature pods and leaves with brick red veins.
Jammu & Kashmir,Kharif,Cowpea,Jammu,White Mold,disease,,,,,Light brown water-soaked discoloration and cottony growth on collar region.
Jammu & Kashmir,Kharif,Cowpea,Jammu,Angular leaf spot,disease,,,,,Circular to angular dark grey to reddish brown leaf spots.
Jammu & Kashmir,Kharif,Rajmash,Jammu,Rust,disease,,,Spray Propiconazole 25EC @0.1% or Flusilazole 40EC @0.02%,,Rust pustules on leaves and stems causing leaf fall.
Jammu & Kashmir,Kharif,"Rajmash, Moong, Cowpea",Jammu,Root rot/damping off,disease,,,Seed treatment with Carbendazim 2 g/kg or Thiram 4 g/kg; spot drenching with Carbendazim @1 gm/litre water,Seed treatment with Talc formulation of Trichoderma viride @4 g or P. fluorescens @10 g/kg seed,"Wilting, yellowing, root blackening, vascular discoloration."
Jammu & Kashmir,Kharif,Apple,Jammu & Kashmir,Apple Blotch Leaf Miner (ABLM),pest,,,Thiamethoxam 25 WG @50g/100L or Imidacloprid 6% + Lambda-Cyhalothrin 4% SL @50ml/100L or Flubendiamide 39.35 SC @40ml/100L,Maintain orchard hygiene; use pheromone traps 1/kanal; sticky traps 10m apart; mass trapping with 2 traps/kanal,Major pest causing damage to apple orchards.
Jammu & Kashmir,Kharif,Apple,Jammu & Kashmir,Fruit Borer (Helicoverpa armigera),pest,,,Chlorpyriphos 20 EC @100 ml/100 L or Quinalphos 25 EC @100 ml/100 L if 1-2 moths/trap for 5 nights,Destroy infested fruits and larvae; install 8-10 pheromone traps/ha or 1 trap/kanal; mass trapping 2 traps/kanal,Infestation control proactive.
Jammu & Kashmir,Kharif,Apple,Jammu & Kashmir,Aphids,pest,,,Thiamethoxam 25 WG @50g/100L or Thiacloprid 21.7 SC @40 ml/100 L,,Population can explode - control necessary.
Jammu & Kashmir,Kharif,Apple,Jammu & Kashmir,San Jose Scale & Wooly Apple Aphid,pest,,,Dimethoate 30 EC or Quinalphos 25 EC @100 ml/100 L,,Significant pests if not controlled.
Jammu & Kashmir,Kharif,Apple,Jammu & Kashmir,Scab & Foliar Diseases,disease,,,"Preventive: Mancozeb 75 WP@0.3%, Captan 50 WP @0.3%, Zineb 75 WP @0.3%; Curative: Hexaconazole 5 EC @50 ml/100 L or Flusilazole 40 EC @20 ml/100 L",,Apply before onset of rains.
Jammu & Kashmir,Kharif,Apple,Jammu & Kashmir,Root Rot & Collar Rot,disease,,,Drench tree basin with Carbendazim 50 WP @0.1% or Carbendazim+Mancozeb mix @0.5%; Metalaxyl MZ 72 WP @0.3% or Copper Oxychloride 50 WP @0.6%,,Remove infected soil and expose roots to sunlight; apply Chaubatia or Bordeaux paste on collar.
Jammu & Kashmir,Kharif,Apple,Jammu & Kashmir,Fabrea leaf & fruit spot,disease,,,"Spray Thiophanate Methyl 70WP (0.05%), Carbendazim 50WP (0.05%), Mancozeb 75WP (0.3%), or Chlorothalonil 75 WP (0.25%)",,
